Substrate 1,Substrate 2,Substrate 3,Substrate 4,Substrate 5,Substrate 6,Substrate 7,Substrate 8,Substrate 9,Substrate 10,Substrate 11,Substrate 12,Substrate 13,Substrate 14,Substrate 15,Substrate 16,Substrate 17,Substrate 18,Substrate 19,Substrate 20,Substrate 21,Substrate 22,Substrate 23,Substrate 24,Substrate 25,Substrate 26,Substrate 27,Substrate 28,Substrate 29,Substrate 30,Substrate 31,Substrate 32,Substrate 33,Substrate 34,Substrate 35,Substrate 36,Substrate 37,Substrate 38,Substrate 39,Substrate 40,Substrate 41,Substrate 42,Substrate 43,Substrate 44,Substrate 45,Substrate 46,Substrate 47,Substrate 48,Substrate 49,Substrate 50,Substrate 51,Substrate 52,Substrate 53,Substrate 54,Substrate 55,Substrate 56,Substrate 57,Substrate 58,Substrate 59,Substrate 60,Substrate 61,Substrate 62,Substrate 63,Substrate 64,Substrate 65,Substrate 66,Substrate 67,Substrate 68,Substrate 69,Substrate 70,Substrate 71,Substrate 72,Substrate 73,Substrate 74,Substrate 75,Substrate 76,Substrate 77,Substrate 78,Substrate 79,Substrate 80,Substrate 81,Substrate 82,Substrate 83,Substrate 84,Substrate 85,Substrate 86,Substrate 87,Substrate 88,Substrate 89,Substrate 90,Substrate 91,Substrate 92,Substrate 93,Substrate 94,Substrate 95,Substrate 96,Substrate 97,Substrate 98,Substrate 99,Substrate 100,
69764,93004,99968,100087,100057,100247,99767,100110,100036,99928,99933,100010,99767,99984,100331,100019,99958,99902,100286,99441,100208,100115,100017,99909,100074,100031,100212,99971,99771,100076,99822,99954,100122,99941,100001,100093,99638,100503,100030,99758,99967,99891,100262,99774,100034,99862,100389,99897,100275,99567,100138,100269,99541,100014,100297,99693,99934,100233,99902,100091,99996,99908,99997,100114,100055,99915,100235,99894,99654,100090,100446,100124,99355,99994,99952,100512,99869,99635,100365,99854,100023,100070,100076,99904,100128,99797,100093,99992,99894,99837,100248,100008,99967,100042,99763,100151,100002,100078,100055,137033,
53697,85327,97895,99434,99834,100405,99750,100332,99727,100274,99735,99911,99616,100010,100311,100281,99834,100087,100033,99665,100036,100170,99875,100260,99812,100086,100117,100259,99593,100098,99581,100156,99842,100160,100191,99947,99721,100451,100110,99899,99868,100011,99913,100033,99979,100014,100231,99717,100379,99788,99860,100292,99817,99898,100047,99813,99943,100219,100038,99962,100162,100001,99821,100065,100069,99835,100336,99903,99687,100118,100008,100439,99522,99845,100021,100269,100169,99800,100166,100016,99885,100059,99970,99823,100208,99922,100095,99641,99928,100044,100325,99959,100158,99726,99671,100280,100303,99837,99927,163643,
38568,73136,92348,98293,99290,100502,99827,100349,99964,99929,99948,99753,99691,100016,100204,100094,99930,99968,100222,99782,100131,100067,99830,100352,99754,100083,100130,100124,99888,99880,99863,100087,99537,100214,100463,99883,99690,100117,100117,99901,100267,99975,100238,99686,100074,99901,100117,99979,100107,99982,99806,99970,100436,99514,100359,99732,99553,100259,100250,99879,99912,100235,99992,99889,99900,99883,100356,100038,99689,100010,100199,100115,99819,99764,99928,100323,99967,100095,100247,100074,99794,99801,99975,100046,100111,99847,100065,100038,99606,100329,99988,100079,100223,100061,99564,100024,100373,99712,99762,198158,
24568,56189,81523,93778,98344,99945,99872,100340,100006,100021,100286,99379,99992,99926,100089,99848,99977,100098,99968,100175,99840,100183,100030,99980,99672,100343,100084,99950,100153,100004,100078,100044,99435,99962,100288,99931,99859,99973,100016,100022,99977,100146,100368,99623,100062,99951,100201,99702,100325,100161,99840,100000,100085,99880,100216,99756,99695,99930,100198,100137,99832,100273,99892,100056,99785,100127,99708,100452,99860,99972,99701,100178,99986,100048,99790,100190,100000,100054,100077,100511,100016,99267,100089,100113,100158,100058,99860,99876,100032,100123,100130,99827,100591,99909,99547,99612,100539,99606,100447,245284,
18517,47468,73860,89533,96381,99597,100128,99950,100206,99857,100419,99321,100050,99892,100154,99751,100124,100043,99957,100350,99698,100100,99962,100300,99411,100256,100204,99797,100255,100114,99937,100146,99678,99844,100122,99911,100056,99869,100140,99754,100099,100156,100111,99971,99836,100135,99996,100011,100171,100212,99771,99828,100385,99956,100185,99514,99729,100078,99770,100506,99827,100037,100140,100030,99778,100069,99828,100224,100183,99673,100036,99874,99809,100244,99835,100301,100081,100084,100015,100062,100288,99500,100130,99990,100134,99943,99933,99849,99984,99936,100201,99907,100466,99961,99991,99558,100108,100116,100165,274178,
15778,43070,69717,86962,95147,99036,99953,99987,100325,99711,100459,99557,100023,99753,100062,99884,100028,99990,99930,100327,99722,100149,100128,100091,99580,100076,100347,99727,100225,99972,100245,100074,99547,99846,100083,100062,99873,100194,100138,99723,99951,100178,100078,100015,99762,100066,100107,100180,99991,100339,99742,99683,100529,100009,100261,99442,99722,99972,99939,100295,99856,100154,100070,100076,99628,100125,99735,100208,100324,99532,100338,99748,99654,100236,99973,100192,99971,100196,100161,99923,100406,99615,99974,100015,99947,99991,100132,99693,99976,100052,100154,100002,100388,99841,100103,99520,100111,100456,100033,289729,
13378,38527,65284,84175,93490,98392,99751,100095,100199,99619,100368,99478,100389,99662,99963,100038,99937,100042,99726,100378,99791,99916,100559,99981,99751,99888,100342,99614,100251,99867,100300,100282,99613,99686,99886,100115,99912,100155,100292,99826,99893,100039,100430,99760,99781,99865,100071,100385,99739,100511,99642,100007,100264,100168,100333,99409,99858,99482,100409,100193,99708,100171,100157,99976,99708,100247,99771,99983,100439,99485,100359,99654,99711,99992,100136,100198,99960,100554,99929,99789,100446,99571,100174,99870,100059,99857,100392,99524,99815,100229,99949,100148,100386,100043,100029,99444,100085,100402,100041,306452,
11328,34398,60686,80983,91642,97623,99518,99785,100414,99714,100399,99319,100341,99622,99877,100353,99787,100041,99669,100390,99723,99954,100419,100273,99499,100140,100234,99732,100165,99863,100288,100334,99750,99672,99661,100232,99807,99914,100504,99877,99828,100063,100293,100080,99642,99931,100024,100241,100079,100217,99785,100172,100069,100371,100237,99570,99766,99253,100356,100231,99857,99877,100403,99933,99638,100211,99783,100161,100295,99498,100330,99768,99763,99891,100273,100078,99749,100517,100263,99889,100059,99781,100220,99773,100113,99821,100382,99644,99582,100289,99973,100119,100538,99878,100100,99534,100357,100040,100000,323482,
9514,30592,56231,77579,89641,96244,99196,99776,100176,99989,100292,99531,100157,99738,99673,100207,100046,99970,99800,100169,99896,99825,100472,100442,99352,100092,100302,99607,100216,99961,100543,100024,99753,99691,99667,100025,99991,100017,100395,99834,99862,100031,100449,100030,99731,99624,100201,100298,100173,100002,99781,100098,100190,100306,100148,99660,100089,99133,100433,100011,99767,99933,100363,99970,100042,99621,100178,100050,100326,99528,100181,99845,99839,99663,100548,100081,99571,100197,100557,99944,100109,99826,100192,99818,99823,99793,100607,99792,99373,100276,100015,99997,100435,99903,99987,99872,100463,100132,99823,340684,
8767,28789,53908,75791,88336,95602,99095,99665,100013,100175,100370,99542,100023,99783,99690,100205,100117,99944,99757,100096,99923,99844,100645,100192,99551,100021,100147,99749,100045,100216,100366,100136,99661,99701,99626,100023,99961,100194,100249,99913,99671,100182,100443,99958,99708,99771,100270,100293,100104,100090,99717,100203,100033,100313,99947,99958,99934,99398,100232,100004,99662,100073,100273,100029,100114,99415,100317,100079,100247,99569,100180,99863,100074,99419,100564,100015,99631,100237,100462,100061,100035,99891,100135,99918,99652,99841,100553,99958,99377,100265,99812,100077,100505,99768,100113,99820,100513,99997,99867,349559,
8012,27048,51615,73841,87336,94674,99034,99381,100005,100209,100213,99864,99938,99665,99594,100200,100147,99995,99711,100160,99955,99993,100554,100258,99423,100010,100048,99916,99876,100362,100250,100171,99705,99584,99949,99839,99952,100138,100154,100062,99796,100164,100304,99986,99761,99807,100242,100052,100400,99936,99765,100068,100153,100422,100030,99896,99784,99664,99933,99912,99862,100058,100262,100015,100203,99402,100172,100131,100156,99850,100022,99894,99933,99679,100387,100049,99706,100048,100564,99901,100244,99736,100239,99827,99643,99918,100425,99949,99634,100201,99834,99979,100462,99722,100326,99705,100283,100294,99823,358546,
7262,25394,49363,71738,86203,93861,98628,99377,100079,100058,100143,99963,99828,99856,99636,100060,100011,100279,99452,100298,99861,100099,100446,100431,99277,100175,99829,100036,99890,100312,100230,100128,99841,99657,99749,99830,99921,100169,100203,100005,99845,100043,100411,99860,99790,99923,100119,100140,100605,99765,99874,99918,100116,100566,100038,99724,100049,99400,100044,100033,99836,99892,100363,100034,100207,99532,99929,100176,100194,99818,100024,99874,99987,99691,100374,99939,100026,99777,100522,99925,100305,99804,99989,99939,99749,100051,100104,99986,99737,100254,99844,99971,100496,99677,100240,99736,100260,100447,99740,367710,
6581,23789,47071,69507,84941,93096,98260,99456,99760,100055,100190,99948,99873,99883,99660,100178,99846,100239,99399,100310,99964,99914,100572,100412,99386,100259,99585,100071,99947,100242,100096,100236,99736,100043,99554,99841,99796,100281,100205,99868,99971,99912,100350,99981,99939,99899,99923,100307,100556,99756,99762,100090,99829,100613,100163,99812,99900,99430,100275,99894,99839,99977,100345,99891,100279,99491,99985,100223,99924,100029,100062,99714,100076,99666,100449,99961,99810,99913,100570,100004,99984,99990,99925,100066,99921,99840,100192,99874,99968,100078,99908,99946,100460,99768,100144,99637,100301,100488,99770,377120,
