Substrate 1,Substrate 2,Substrate 3,Substrate 4,Substrate 5,Substrate 6,Substrate 7,Substrate 8,Substrate 9,Substrate 10,Substrate 11,Substrate 12,Substrate 13,Substrate 14,Substrate 15,Substrate 16,Substrate 17,Substrate 18,Substrate 19,Substrate 20,Substrate 21,Substrate 22,Substrate 23,Substrate 24,Substrate 25,Substrate 26,Substrate 27,Substrate 28,Substrate 29,Substrate 30,Substrate 31,Substrate 32,Substrate 33,Substrate 34,Substrate 35,Substrate 36,Substrate 37,Substrate 38,Substrate 39,Substrate 40,Substrate 41,Substrate 42,Substrate 43,Substrate 44,Substrate 45,Substrate 46,Substrate 47,Substrate 48,Substrate 49,Substrate 50,Substrate 51,Substrate 52,Substrate 53,Substrate 54,Substrate 55,Substrate 56,Substrate 57,Substrate 58,Substrate 59,Substrate 60,Substrate 61,Substrate 62,Substrate 63,Substrate 64,Substrate 65,Substrate 66,Substrate 67,Substrate 68,Substrate 69,Substrate 70,Substrate 71,Substrate 72,Substrate 73,Substrate 74,Substrate 75,Substrate 76,Substrate 77,Substrate 78,Substrate 79,Substrate 80,Substrate 81,Substrate 82,Substrate 83,Substrate 84,Substrate 85,Substrate 86,Substrate 87,Substrate 88,Substrate 89,Substrate 90,Substrate 91,Substrate 92,Substrate 93,Substrate 94,Substrate 95,Substrate 96,Substrate 97,Substrate 98,Substrate 99,Substrate 100,
69942,92855,100185,100041,99635,100351,99927,99802,100279,99748,99902,100006,100161,100172,100196,99729,99909,99948,100404,99915,99520,100471,99945,99952,99742,100090,99902,99902,100185,100019,99989,99859,99932,100101,100087,100221,99808,99958,100193,99713,100183,100312,99585,100176,100037,99995,99891,99965,100015,100048,100533,99420,99996,100127,100153,99893,99391,100127,100280,99916,100099,100032,100076,100136,99689,100029,100077,100057,100063,99892,99956,100056,100193,99559,100273,99865,100140,100113,99994,100237,99713,99866,99745,100143,100089,99890,99922,100323,99930,100229,99834,99718,99984,100207,100084,99770,99887,100166,100152,137073,
53749,85273,97599,99993,99600,100138,100146,99496,100633,100042,99741,99776,100454,100048,100001,99797,99854,99925,100444,100248,99456,100120,100082,99888,99882,100064,99932,99969,100182,99790,100122,99733,100185,99714,100265,100073,99764,100038,100333,99705,100029,100393,99493,100311,99932,100303,99772,99717,100210,100038,100274,99595,100297,99965,99773,100233,99537,100025,100113,100158,99891,100216,99920,99958,99952,100105,100124,99811,100190,99992,99836,100162,99822,99914,100171,100004,99909,100023,99859,100679,99526,99960,99844,100027,100039,99823,99888,100361,100109,100250,99811,99737,99710,100270,100209,99939,99756,100110,99771,163900,
38509,72859,92303,98737,99838,99774,100116,99534,100543,99789,100003,99970,100431,99927,100174,100041,99545,99734,100559,100179,99464,99897,100200,99984,99981,99771,100248,99891,100336,100078,99896,99793,99909,99618,100175,100272,100101,99596,100320,100086,99642,100404,99737,100263,99847,100320,99925,99737,99940,100171,100310,99579,100046,100190,100050,99921,99768,99656,100274,100331,99548,100453,99806,99905,100277,100187,99800,99941,99779,100159,99987,100093,99764,100075,100357,99503,100008,100187,100077,100382,99749,99913,99744,99991,100159,99762,99884,100421,99980,100155,100077,99517,99686,100275,100235,100037,99449,100297,99831,198258,
24340,56155,81338,94207,98636,99522,100201,99992,100019,100025,99910,99988,100251,100194,99623,100195,99975,99711,100216,100358,99338,100171,100059,99965,100048,99865,100183,100000,99973,100109,100270,99973,99379,99829,100126,100069,100330,99716,100240,99832,99807,100403,99945,100121,99864,99852,100384,99821,99725,100238,100126,100088,99810,99916,100133,99873,100068,99821,99711,100673,99537,100231,99890,100127,100192,100092,99845,99998,99747,100197,100222,99942,99763,99871,99832,100272,99497,100210,100325,100091,99677,100249,100057,99868,99727,100007,99798,100310,100434,99868,99994,99757,99915,99793,100273,100050,99765,99556,100190,246121,
18363,47399,73785,89939,96926,99393,99783,99993,100138,99661,100096,99932,100526,100025,99748,99939,100145,99741,100176,100121,99824,99951,100122,99847,100400,99639,100133,100204,99972,100150,100031,99705,99719,99789,100102,99860,100204,99869,100438,99764,100060,100338,99911,99802,99991,100143,100130,99698,100057,99951,100316,100012,99977,99893,99828,99999,100294,99600,99835,100336,99818,99973,100252,99730,100343,100132,99701,100280,99443,100533,100030,99932,99764,100075,99853,100103,99504,100161,100216,100046,99955,100068,100298,99528,99935,100005,99838,100328,100220,99990,100086,99740,99703,100073,99916,100371,99884,99532,99946,274972,
15727,42949,69610,87365,95623,99043,99773,99758,100387,99563,99981,99718,100505,100177,99960,99686,100427,99601,100065,100295,99739,99962,100194,99819,100121,99836,100103,100015,100248,100208,100043,99726,99518,100008,99928,99990,99958,100061,100365,100069,99886,99964,100200,99813,99828,100232,100064,99900,100129,99625,100467,100103,99788,100043,99884,99782,100512,99548,99689,100392,99969,99873,100393,99549,100540,100160,99657,100086,99671,100138,100415,100002,99588,99908,100077,100149,99448,100015,100016,100238,100151,100058,100093,99575,100143,99563,100226,99997,100433,99877,99916,99968,99807,99934,99813,100378,100208,99543,99745,290707,
13344,38619,65130,84323,93844,98464,99399,100320,100089,99724,99998,99674,100298,100054,100062,99784,100343,99663,99823,100565,99808,99908,100212,100045,99719,100024,100081,99969,100029,100204,100096,99732,99815,99730,100031,100005,99844,100176,100323,100293,99766,99795,100362,99754,99793,100232,99967,100105,100134,99585,100123,100446,99886,99798,100184,99774,100195,99892,99436,100252,100153,99965,100399,99563,100275,100233,100082,99712,99867,99950,100341,100172,99772,99680,99936,100203,99677,99806,100156,100188,100222,99928,100132,99572,100013,99769,100288,99917,100188,100201,99848,99835,99849,100147,99743,100346,100286,99324,99886,307333,
11309,34308,60773,80769,92179,97687,98941,100377,100173,99819,99828,99795,100107,100128,100053,99716,100290,99577,99992,100646,99734,99975,99970,100079,99953,100038,99891,99898,100248,100114,100074,99675,99809,99808,100290,99738,100067,99811,100423,100074,100194,99819,99944,100090,99764,99959,100178,99828,100384,99693,100087,100394,99996,99784,100143,99677,100260,100138,99367,99869,100490,99840,100391,99625,100058,100329,100152,99781,99876,99888,100487,100119,99724,99703,99992,100072,99790,99566,100356,100124,100301,99888,99994,99583,99902,99954,100351,99912,100116,100127,99938,100067,99580,100090,99927,100103,100284,99526,99792,324498,
9496,30481,56576,77057,90112,96691,98762,100190,99957,99902,99905,99756,99930,100439,99879,99647,100313,99571,99887,100606,99974,99758,100068,100248,99844,99968,99985,99853,100221,99983,100103,99819,99753,100010,100106,99808,100036,99794,100415,100158,100153,99937,99942,99876,99938,99660,100309,99962,100194,99877,99950,100252,100125,99840,100175,99685,100181,100354,99377,99807,100148,100188,100325,99797,100017,100081,100186,100028,99779,99804,100460,100211,99826,99718,99965,99849,99953,99277,100552,100023,100317,99893,100012,99870,99438,100152,100194,100131,99884,100274,99905,100205,99686,99873,99971,99963,100504,99392,99837,341657,
8692,28725,54391,75109,88967,96234,98517,99765,100445,99745,100072,99620,99837,100380,99996,99568,100318,99534,99964,100612,99884,99737,100264,100141,99955,99750,100077,99829,100405,99905,99932,99908,99834,99959,100118,99853,99944,99915,100382,100180,99975,99979,99848,100046,99892,99611,100424,99880,100239,99822,99978,100187,100273,99736,100157,99676,100293,100298,99508,99690,100177,100239,100329,99913,99744,100191,99987,100250,99721,99851,100416,100301,99746,99628,99895,100101,99945,99344,100281,100111,100204,100043,99980,99763,99650,99942,100181,100348,99792,100313,99859,100099,99825,99924,100005,99812,100539,99474,99817,350285,
7977,26916,52273,73246,87677,95575,98300,99660,100563,99513,100244,99661,99807,100241,99924,99595,100384,99842,99663,100536,99981,99600,100449,100082,99881,99821,100177,99813,100229,100310,99658,99769,99915,99887,100446,99466,100004,99920,100624,100165,99769,100008,99800,100151,99981,99405,100493,99913,100174,99855,100086,100138,100306,99596,100215,99675,100496,100202,99516,99768,99970,100335,100344,99683,99923,100150,100045,100244,99890,99692,100196,100356,99822,99684,99870,99987,100135,99203,100230,100257,100326,99973,99987,99653,99636,99903,100220,100340,99802,100438,99805,100034,100007,99689,100090,99886,100475,99412,99761,359206,
7366,25199,49990,71534,86228,94900,97752,99946,100213,99714,100215,99617,99871,100306,99586,99918,100264,99863,99641,100490,100091,99849,100069,100177,99856,99923,100001,99899,100384,99949,99853,99953,99785,99742,100516,99658,99925,100033,100425,100168,99732,100022,99914,100026,100033,99601,100203,100014,100211,99835,100043,100213,100384,99481,100223,99610,100551,100033,99724,99754,99909,100388,100264,99616,100085,100111,99938,100447,99811,99665,100156,100299,100068,99517,99827,100079,100089,99313,100096,100226,100441,99877,99882,99756,99561,99922,100269,100237,99885,100261,100128,100047,99951,99757,99970,99904,100330,99515,99786,368141,
6734,23596,47755,69460,84873,94201,97383,99843,100277,99807,100052,99633,99814,100424,99388,99932,100452,99938,99494,100480,99924,99978,100260,99913,100085,99903,99895,99930,100371,99953,99920,99718,99951,99753,100300,99855,99873,99957,100410,100178,99803,100190,99709,100092,100131,99524,100064,100095,100364,99842,99923,100390,100181,99598,100089,99655,100422,100140,99692,99923,99693,100377,100338,99852,99982,99951,100114,100339,99886,99654,100128,100248,99989,99578,99733,100159,100120,99357,99894,100296,100437,99978,99919,99914,99481,99723,100187,100437,99841,100029,100302,100116,99866,99951,99952,99772,100401,99470,99731,377315,
6127,22039,45600,67523,83222,93387,97028,99601,100224,99721,100172,99724,99780,100565,99280,99822,100541,99669,99591,100510,100094,99869,100217,99914,100224,99771,100120,99796,100233,99924,100091,99777,99865,99772,100304,99855,99764,99821,100448,100208,99791,100276,99839,99971,100211,99349,100249,100115,100208,100069,99738,100411,100307,99463,100063,99898,100147,100196,99868,99853,99730,100232,100371,99818,100137,99843,100178,100257,99880,99710,99980,100379,100015,99564,99617,100226,100062,99362,99950,100351,100215,100073,99780,100109,99677,99567,100210,100392,99928,100047,100417,99900,99952,99785,100212,99569,100313,99784,99515,386678,
5539,20688,43293,65393,81748,92486,96617,99252,100188,99842,99968,99970,99705,100361,99391,99847,100367,99830,99490,100656,100056,99840,100155,99873,100155,100006,100151,99823,100043,99896,100017,100044,99818,99704,100387,99955,99602,99813,100498,100067,99962,100216,99856,100048,99967,99624,99998,100254,100063,100162,99811,100438,100214,99538,100122,99779,100102,100224,99827,100045,99609,100088,100435,99802,100196,99767,100149,100274,100125,99681,99987,100236,99926,99737,99689,100254,99875,99299,100078,100336,100288,99896,100035,99916,99814,99499,100267,100176,99960,100297,100197,100037,99989,99762,100007,99859,100098,99865,99506,396205,
